# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
20.7000 MA4 1000 4 0.7000 beacon76 c82 29 N beacon76->c143->c26->c179->c82
36.3000 MA1 1000 9 31.3000 beacon32 c114 29 N beacon32->c29->c13->c137->c158->beacon109->c132->c142->c121->c114
49.2000 MA2 1000 12 39.2000 beacon21 c208 29 N beacon21->c175->c95->c112->c105->c124->c97->c44->c195->c64->c20->c57->c208
66.3000 MA3 1000 20 51.3000 beacon76 c102 29 N beacon76->c143->c18->c138->c30->c112->c20->c139->c195->c206->c83->c120->c131->c116->c149->c151->c142->c79->c125->c70->c102
92.9000 MA11 1000 24 37.9000 beacon10 c123 29 N beacon10->c26->c203->c150->c33->c170->beacon76->c138->c177->c98->c111->c207->beacon21->c175->c95->c112->c90->c44->c113->c141->c149->c109->c40->c163->c123
110.9000 MA17 1000 8 25.9000 beacon10 c126 29 N beacon10->c21->c168->c50->c24->c177->c138->c127->c126
111.2000 MA5 1000 19 86.2000 beacon76 c169 28 N beacon76->c179->c191->c18->c16->c138->beacon21->c20->c143->c17->c177->c140->c132->c181->c67->c63->c167->c92->c77->c169
112.4000 MA6 1000 7 82.4000 beacon21 c128 28 N beacon21->c18->c98->c163->c96->c113->c110->c128
116.7000 MA20 1000 18 16.7000 beacon98 c123 29 N beacon98->c110->c190->c195->c196->c72->c135->c116->c24->c141->c149->c46->c32->c54->c145->c39->c29->c64->c123
130.1000 MA8 1000 20 90.1000 beacon87 c200 28 N beacon87->c170->c126->c96->c176->c138->c177->c17->c113->beacon21->c175->c95->c67->c112->c163->c137->c116->c141->c149->c40->c200
132.7000 MA10 1000 11 82.7000 beacon65 c11 28 N beacon65->c171->c92->c47->c48->c174->c61->c135->c103->c203->c69->c11
136.9000 MA25 1000 11 11.9000 beacon32 c198 29 N beacon32->c180->c145->c109->c113->c46->c192->c100->c43->c140->c70->c198
139.1000 MA16 1000 2 59.1000 beacon10 c194 29 N beacon10->c24->c194
153.0000 MA12 1000 3 93.0000 beacon65 c14 28 N beacon65->c68->c92->c14
155.1000 MA22 1000 23 45.1000 beacon32 c20 29 N beacon32->c15->c180->c145->c109->c113->c46->c192->c135->c193->c129->c177->c107->c131->c23->c32->c98->c62->beacon21->c176->c182->c160->c126->c20
155.7000 MA7 1000 4 120.7000 beacon76 c106 27 N beacon76->c82->c199->c58->c106
160.4000 MA24 1000 2 40.4000 beacon87 c132 29 N beacon87->c87->c132
173.2000 MA33 1000 12 8.2000 beacon76 c200 29 N beacon76->c153->c162->c62->beacon21->c157->c23->c64->c21->c182->c193->c99->c200
175.5000 MA18 1000 14 85.5000 beacon21 c93 28 N beacon21->c90->c112->c44->c66->c141->c149->c113->c102->c79->c142->c16->c56->beacon54->c93
183.1000 MA13 1000 7 118.1000 beacon10 c28 28 N beacon10->c26->c18->c110->c184->c117->c27->c28
183.3000 MA15 1000 6 108.3000 beacon54 c126 28 N beacon54->c124->c38->c175->c78->c59->c126
189.8000 MA31 1000 11 34.8000 beacon98 c54 29 N beacon98->c116->c204->c147->c172->c149->c134->c64->c176->beacon21->c23->c54
198.4000 MA30 1000 12 48.4000 beacon76 c24 29 N beacon76->c141->c172->c149->c157->c197->c21->c131->c182->c169->c161->beacon43->c24
199.3000 MA38 1000 11 9.3000 beacon21 c85 29 N beacon21->c23->c54->c75->c114->c193->c200->c10->c99->c76->c105->c85
205.6000 MA37 1000 8 20.6000 beacon21 c13 29 N beacon21->c192->c197->c204->c147->c25->c153->c61->c13
215.8000 MA27 1000 14 80.8000 beacon54 c39 28 N beacon54->c146->c165->c202->c80->c163->c200->c114->c75->c81->c142->c102->c122->c78->c39
219.8000 MA34 1000 24 49.8000 beacon10 c42 29 N beacon10->c11->c111->c90->c116->c25->c153->c147->c204->c192->c134->c176->beacon21->c114->c113->c193->c200->c10->c163->c99->c129->c157->c76->c21->c42
